Date,Pressure ,Exceed,Outlet,Inlet,Difference,Status
01-01-2004,3.9,0,169.9,169.6,3.8,normal
02-01-2004,3.9,0,185.8,132.5,48.7,warning
03-01-2004,3.9,0,106.2,121.9,6.1,normal
04-01-2004,3.9,0,69,106,8.5,normal
05-01-2004,3.8,0,169.6,169.6,3.8,normal
06-01-2004,3.8,0,185.5,132.5,48.7,warning
07-01-2004,3.8,0,106,121.9,6.1,normal
08-01-2004,3.7,0,68.9,106,8.5,normal
09-01-2004,3.7,0,169.2,169.6,3.8,normal
10-01-2004,3.7,0,185,132.5,48.7,warning
11-01-2004,3.6,0,105.7,121.9,6.1,normal
12-01-2004,3.6,0,68.7,106,8.5,normal
13-01-2004,3.6,0,169.3,169.6,3.8,normal
14-01-2004,3.5,0,185.2,132.5,48.7,warning
15-01-2004,3.5,0,105.8,121.9,6.1,normal
16-01-2004,3.4,0,68.8,106,8.5,normal
17-01-2004,3.4,0,170.1,169.6,3.8,normal
18-01-2004,3.4,0,186.1,132.5,48.7,warning
19-01-2004,3.4,0,106.3,121.9,6.1,normal
20-01-2004,3.4,0,69.1,106,8.5,normal
21-01-2004,3.3,0,169.2,169.6,3.8,normal
22-01-2004,3.3,0,185.1,132.5,48.7,warning
23-01-2004,3.3,0,105.8,121.9,6.1,normal
24-01-2004,3.3,0,68.7,106,8.5,normal
25-01-2004,3.2,0,169,169.6,3.8,normal
26-01-2004,3.2,0,184.8,132.5,48.7,warning
27-01-2004,3.9,0,105.6,121.9,6.1,normal
28-01-2004,4.9,0,68.7,106,8.5,normal
29-01-2004,4.9,0,169.5,169.6,3.8,normal
30-01-2004,4.9,0,185.4,132.5,48.7,warning
31-01-2004,4.8,0,105.9,121.9,6.1,normal
01-02-2004,4.8,0,68.8,106,8.5,normal
02-02-2004,4.8,0,169.8,169.6,3.8,normal
03-02-2004,4.7,0,185.7,132.5,48.7,warning
04-02-2004,4.7,0,106.1,121.9,6.1,normal
05-02-2004,4.7,0,69,106,8.5,normal
06-02-2004,4.6,0,170,169.6,3.8,normal
07-02-2004,4.6,0,186,132.5,48.7,warning
08-02-2004,4.6,0,106.3,121.9,6.1,normal
09-02-2004,4.5,0,69.1,106,8.5,normal
10-02-2004,4.5,0,169.9,169.6,3.8,normal
11-02-2004,4.5,0,185.8,132.5,48.7,warning
12-02-2004,4.4,0,106.2,121.9,6.1,normal
13-02-2004,4.4,0,69,106,8.5,normal
14-02-2004,4.4,0,169.2,169.6,3.8,normal
15-02-2004,4.3,0,185,132.5,48.7,warning
16-02-2004,4.3,0,105.7,121.9,6.1,normal
17-02-2004,4.2,0,68.7,106,8.5,normal
18-02-2004,4.3,0,170.1,169.6,3.8,normal
19-02-2004,4.5,0,186,132.5,48.7,warning
20-02-2004,4.8,0,106.3,121.9,6.1,normal
21-02-2004,4.8,0,69.1,106,8.5,normal
22-02-2004,4.8,0,170,169.6,3.8,normal
23-02-2004,4.7,0,185.9,132.5,48.7,warning
24-02-2004,4.7,0,106.2,121.9,6.1,normal
25-02-2004,4.7,0,69.1,106,8.5,normal
26-02-2004,4.6,0,169.5,169.6,3.8,normal
27-02-2004,4.6,0,185.4,132.5,48.7,warning
28-02-2004,4.5,0,105.9,121.9,6.1,normal
29-02-2004,4.5,0,68.8,106,8.5,normal
01-03-2004,4.4,0,169.4,169.6,3.8,normal
02-03-2004,4.4,0,185.3,132.5,48.7,warning
03-03-2004,4.3,0,105.9,121.9,6.1,normal
04-03-2004,4.3,0,68.8,106,8.5,normal
05-03-2004,4.2,0,169,169.6,3.8,normal
06-03-2004,4.2,0,184.8,132.5,48.7,warning
07-03-2004,4.2,0,105.6,121.9,6.1,normal
08-03-2004,4.1,0,68.7,106,8.5,normal
09-03-2004,6.96,0,169.6,169.6,3.8,normal
10-03-2004,10.9,0,185.5,132.5,48.7,warning
11-03-2004,14.4,0,106,121.9,6.1,normal
12-03-2004,15.4,0,68.9,106,8.5,normal
13-03-2004,16.2,0,169.9,169.6,3.8,normal
14-03-2004,18.4,0,185.8,132.5,48.7,warning
15-03-2004,21,0,106.2,121.9,6.1,normal
16-03-2004,23.4,0,69,106,8.5,normal
17-03-2004,25.2,0,169.3,169.6,3.8,normal
18-03-2004,25.7,0,185.2,132.5,48.7,warning
19-03-2004,24,0,105.8,121.9,6.1,normal
20-03-2004,20.6,0,68.8,106,8.5,normal
21-03-2004,17.1,0,169,169.6,3.8,normal
22-03-2004,12.7,0,184.9,132.5,48.7,warning
23-03-2004,10,0,105.6,121.9,6.1,normal
24-03-2004,9.2,0,68.7,106,8.5,normal
25-03-2004,9.5,0,170,169.6,3.8,normal
26-03-2004,9.6,0,186,132.5,48.7,warning
27-03-2004,9.6,0,106.3,121.9,6.1,normal
28-03-2004,9.1,0,69.1,106,8.5,normal
29-03-2004,8.5,0,169.2,169.6,3.8,normal
30-03-2004,7.9,0,185.1,132.5,48.7,warning
31-03-2004,7.9,0,105.8,121.9,6.1,normal
01-04-2004,7.9,0,68.7,106,8.5,normal
02-04-2004,8.1,0,169.1,169.6,3.8,normal
03-04-2004,8.3,0,184.9,132.5,48.7,warning
04-04-2004,7.5,0,105.7,121.9,6.1,normal
05-04-2004,6.5,0,68.7,106,8.5,normal
06-04-2004,5.6,0,169.2,169.6,3.8,normal
07-04-2004,5.4,0,185,132.5,48.7,warning
08-04-2004,5.8,0,105.7,121.9,6.1,normal
09-04-2004,6.8,0,68.7,106,8.5,normal
10-04-2004,7.7,0,169.1,169.6,3.8,normal
11-04-2004,7.9,0,184.9,132.5,48.7,warning
12-04-2004,7.1,0,105.7,121.9,6.1,normal
13-04-2004,6.2,0,68.7,106,8.5,normal
14-04-2004,5.8,0,169,169.6,3.8,normal
15-04-2004,5.7,0,184.9,132.5,48.7,warning
16-04-2004,5.4,0,105.6,121.9,6.1,normal
17-04-2004,5,0,68.7,106,8.5,normal
18-04-2004,4.8,0,169.4,169.6,3.8,normal
19-04-2004,4.7,0,185.3,132.5,48.7,warning
20-04-2004,4.6,0,105.9,121.9,6.1,normal
21-04-2004,4.5,0,68.8,106,8.5,normal
22-04-2004,4.4,0,169.3,169.6,3.8,normal
23-04-2004,4.3,0,185.1,132.5,48.7,warning
24-04-2004,4.2,0,105.8,121.9,6.1,normal
25-04-2004,4.1,0,68.8,106,8.5,normal
26-04-2004,4,0,169.1,169.6,3.8,normal
27-04-2004,3.9,0,184.9,132.5,48.7,warning
28-04-2004,3.8,0,105.7,121.9,6.1,normal
29-04-2004,3.7,0,68.7,106,8.5,normal
30-04-2004,3.6,0,169.4,169.6,3.8,normal
01-05-2004,3.5,0,185.3,132.5,48.7,warning
02-05-2004,3.4,0,105.9,121.9,6.1,normal
03-05-2004,3.4,0,68.8,106,8.5,normal
04-05-2004,5.2,0,169.2,169.6,3.8,normal
05-05-2004,6.9,0,185.1,132.5,48.7,warning
06-05-2004,8.7,0,105.8,121.9,6.1,normal
07-05-2004,8.1,0,68.7,106,8.5,normal
08-05-2004,6.5,0,169.2,169.6,3.8,normal
09-05-2004,5.4,0,185.1,132.5,48.7,warning
10-05-2004,4.5,0,105.8,121.9,6.1,normal
11-05-2004,4.3,0,68.8,106,8.5,normal
12-05-2004,4.3,0,169.1,169.6,3.8,normal
13-05-2004,4.2,0,184.9,132.5,48.7,warning
14-05-2004,4.1,0,105.7,121.9,6.1,normal
15-05-2004,4,0,68.7,106,8.5,normal
16-05-2004,3.9,0,169.2,169.6,3.8,normal
17-05-2004,6.3,0,185.1,132.5,48.7,warning
18-05-2004,7.3,0,105.8,121.9,6.1,normal
19-05-2004,7.7,0,68.7,106,8.5,normal
20-05-2004,7.7,0,169.1,169.6,3.8,normal
21-05-2004,7.7,0,185,132.5,48.7,warning
22-05-2004,7.6,0,105.7,121.9,6.1,normal
